Date : 2023-06-28 20:35:38
Directory : g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp
Total : 171 files,  22700 codes, 814 comments, 724 blanks, all 24238 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\webpack-dev-server.cmd               | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\webpack-dev-server.ps1               | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\webpack.cmd                          | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\webpack.ps1                          | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\package-lock.json                                        | JSON       |     17,397 |          0 |          1 |     17,398 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\package.json                                             | JSON       |         61 |          0 |          1 |         62 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\playwright.config.js                                     | JavaScript |         26 |         43 |         10 |         79 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\public\index.html                                        | HTML       |         21 |         23 |          1 |         45 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\public\manifest.json                                     | JSON       |         25 |          0 |          1 |         26 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\src\App.css                                              | CSS        |          3 |         38 |          2 |         43 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\src\App.js                                               | JavaScript |         75 |          0 |         15 |         90 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\src\App.test.js                                          | JavaScript |          7 |          0 |          3 |         10 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\src\components\AboutUs\AboutUs.css                       | CSS        |        167 |          3 |         17 |        187 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\src\components\AboutUs\AboutUs.js                        | JavaScript |         74 |          1 |          6 |         81 |
